epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2810.17,0.49886,0.66584,0.84954,0.9727,0.99676,0.99457,0.91655,0.41973,0.54625,0.79955,0.000660045,0.000660045,0.000660045
43,2825.22,0.50003,0.68865,0.83652,0.96814,0.99754,0.99457,0.9106,0.4289,0.54882,0.79983,0.000649046,0.000649046,0.000649046
44,2840.23,0.50458,0.66484,0.83734,0.96604,0.96513,0.99127,0.9106,0.44354,0.59984,0.80178,0.000638047,0.000638047,0.000638047
45,2855.22,0.48145,0.63969,0.82065,0.95947,0.95499,0.99051,0.88921,0.4807,0.63249,0.8065,0.000627048,0.000627048,0.000627048
46,2870.15,0.4856,0.62311,0.8236,0.84577,0.9332,0.95975,0.86893,0.445,0.81746,0.80014,0.000616049,0.000616049,0.000616049
47,2885.23,0.48928,0.61478,0.84408,0.9342,0.9757,0.98859,0.90264,0.45001,0.6136,0.80067,0.000605051,0.000605051,0.000605051
48,2900.19,0.4866,0.61945,0.82793,0.97021,0.97088,0.99388,0.91494,0.41026,0.53981,0.79922,0.000594052,0.000594052,0.000594052
49,2915.22,0.49104,0.61035,0.82877,0.9523,0.97808,0.99027,0.90655,0.45399,0.57697,0.80556,0.000583053,0.000583053,0.000583053
50,2930.17,0.48787,0.64722,0.83861,0.97274,0.97124,0.98945,0.895,0.4625,0.57521,0.80235,0.000572054,0.000572054,0.000572054
51,2945.21,0.50137,0.63081,0.83783,0.97655,0.99098,0.99297,0.89799,0.47282,0.55802,0.80564,0.000561055,0.000561055,0.000561055
52,2960.87,0.48418,0.65682,0.83756,0.98572,0.99231,0.99457,0.90572,0.45289,0.51492,0.80688,0.000550056,0.000550056,0.000550056
53,2980.18,0.49826,0.64945,0.8432,0.98645,0.99231,0.99457,0.88864,0.46555,0.51937,0.81013,0.000539057,0.000539057,0.000539057
54,2999.42,0.47804,0.61907,0.83624,0.949,0.98524,0.99249,0.9012,0.44319,0.55208,0.80689,0.000528058,0.000528058,0.000528058
55,3018.57,0.47023,0.61216,0.82734,0.96603,0.96977,0.99034,0.90157,0.4323,0.5472,0.80341,0.000517059,0.000517059,0.000517059
56,3037.92,0.49264,0.61557,0.83022,0.98449,0.98684,0.99456,0.90629,0.44044,0.50212,0.80707,0.00050606,0.00050606,0.00050606
57,3057.21,0.4446,0.59626,0.81594,0.9872,0.98986,0.99456,0.91226,0.42972,0.49657,0.80515,0.000495062,0.000495062,0.000495062
58,3076.2,0.45916,0.59337,0.83768,0.98005,0.9848,0.99417,0.91933,0.40884,0.50369,0.79598,0.000484063,0.000484063,0.000484063
59,3095.34,0.4454,0.61366,0.82259,0.97922,0.98518,0.9942,0.91316,0.41764,0.51308,0.79638,0.000473064,0.000473064,0.000473064
60,3114.41,0.46488,0.59289,0.83483,0.99216,0.99147,0.99438,0.93001,0.39703,0.47884,0.7946,0.000462065,0.000462065,0.000462065
61,3133.39,0.44106,0.59316,0.8234,0.98915,0.99035,0.99438,0.90163,0.44579,0.50165,0.79738,0.000451066,0.000451066,0.000451066
62,3152.71,0.48214,0.58113,0.82931,0.98626,0.98742,0.99426,0.91653,0.40855,0.49152,0.79324,0.000440067,0.000440067,0.000440067
63,3171.75,0.47204,0.55956,0.82864,0.98108,0.99036,0.99457,0.91507,0.42179,0.49239,0.79509,0.000429068,0.000429068,0.000429068
64,3190.85,0.47693,0.57915,0.8279,0.98617,0.98681,0.99457,0.92053,0.40841,0.48693,0.79693,0.000418069,0.000418069,0.000418069
65,3209.94,0.44392,0.57946,0.82516,0.98866,0.98959,0.99457,0.92112,0.39179,0.47655,0.7944,0.00040707,0.00040707,0.00040707
66,3229.19,0.42798,0.58741,0.82473,0.9965,0.99079,0.99457,0.92115,0.39727,0.47372,0.79352,0.000396071,0.000396071,0.000396071
67,3248.53,0.45622,0.5677,0.81934,0.9949,0.99021,0.99457,0.90665,0.45791,0.48426,0.80193,0.000385073,0.000385073,0.000385073
68,3267.63,0.47975,0.58934,0.83718,0.99251,0.98929,0.99457,0.92466,0.38999,0.46193,0.79544,0.000374074,0.000374074,0.000374074
69,3286.89,0.45428,0.5648,0.83115,0.99751,0.99088,0.99457,0.91842,0.4075,0.45209,0.80295,0.000363075,0.000363075,0.000363075
70,3305.95,0.46267,0.54467,0.82622,0.99055,0.9849,0.99436,0.91731,0.38996,0.45531,0.7925,0.000352076,0.000352076,0.000352076
71,3324.9,0.47938,0.56457,0.82624,0.98884,0.9849,0.99436,0.91115,0.41601,0.46929,0.7983,0.000341077,0.000341077,0.000341077
72,3344.06,0.44093,0.54139,0.83383,0.99099,0.98296,0.99436,0.92593,0.38718,0.44961,0.7937,0.000330078,0.000330078,0.000330078
73,3363.13,0.45305,0.56489,0.83863,0.99306,0.9849,0.99436,0.92927,0.37951,0.4435,0.79437,0.000319079,0.000319079,0.000319079
74,3382.15,0.42598,0.5407,0.82616,0.99244,0.9851,0.99457,0.92618,0.41775,0.44883,0.80131,0.00030808,0.00030808,0.00030808
75,5067.53,0.43843,0.5239,0.82413,0.99294,0.98544,0.99457,0.9225,0.42005,0.443,0.80203,0.000297081,0.000297081,0.000297081
76,5082.8,0.40479,0.53143,0.82448,0.99631,0.98973,0.99457,0.92799,0.38613,0.42727,0.79692,0.000286083,0.000286083,0.000286083
